UNIQUE_ID,COLLISION_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,PERSON_SEX,PERSON_AGE,VEHICLE_ID,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,CRASH_DATETIME
12967307,4721983,bda50c18-5d50-4d7c-bd18-cfafd2b871d5,OCCUPANT,INJURED,M,45.0,20644410.0,Not Ejected,Conscious,Neck,Driver,Lap Belt,,,Whiplash,Driver,,,05/04/2024,1:06,BROOKLYN,11211.0,40.714073,-73.951,"(40.714073, -73.951)",,,527       METROPOLITAN AVENUE,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024-05-04 01:06:00
12393211,4573408,c5deeeb3-ba5a-4f22-a8a6-bf110c9d5361,BICYCLIST,INJURED,M,48.0,20318461.0,Not Ejected,Conscious,Face,Driver,Unknown,,,Complaint of Pain or Nausea,Driver,,,10/14/2022,15:50,QUEENS,11417.0,40.68046,-73.84309,"(40.68046, -73.84309)",96 STREET,ROCKAWAY BOULEVARD,,1.0,0.0,0,0,1,0,0,0,Unsafe Speed,Unspecified,,,,Bike,,,,,2022-10-14 15:50:00
8955181,4066004,fb7fd580-e50e-4bbd-aa70-1cf7b477ef9d,OCCUPANT,UNSPECIFIED,M,35.0,18500257.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,01/13/2019,1:00,MANHATTAN,10018.0,40.75143,-73.98388,"(40.75143, -73.98388)",,,30        WEST 38 STREET                ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,2019-01-13 01:00:00
12749100,4665530,3d066788-407d-4590-b58b-4882b7352d6d,OCCUPANT,UNSPECIFIED,,,20520610.0,,,,,,,,,Registrant,,,09/26/2023,16:46,BRONX,10474.0,40.816486,-73.89028,"(40.816486, -73.89028)",,,1231      LAFAYETTE AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2023-09-26 16:46:00
6560902,3558473,2658456,OCCUPANT,UNSPECIFIED,M,56.0,17330596.0,,,,,,,,,Registrant,,,11/10/2016,17:15,BROOKLYN,11204.0,40.609505,-73.97705,"(40.609505, -73.97705)",,,1559      WEST 3 STREET                 ,1.0,0.0,0,0,0,0,1,0,Unspecified,,,,,Station Wagon/Sport Utility Vehicle,,,,,2016-11-10 17:15:00
12587645,4623598,23dcbf48-f50e-43c9-9f3d-b406916d13fe,OCCUPANT,UNSPECIFIED,M,47.0,20428857.0,,,,,,,,,Registrant,,,04/25/2023,1:00,QUEENS,11355.0,40.753273,-73.82207,"(40.753273, -73.82207)",,,44-24     KISSENA BOULEVARD,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,Station Wagon/Sport Utility Vehicle,,,,,2023-04-25 01:00:00
7736228,3780015,8aba83de-5723-44dc-9fa2-6b5018a36fd5,OCCUPANT,UNSPECIFIED,M,42.0,17899724.0,,,,,,,,,Registrant,,,10/30/2017,14:00,,,,,,GRAND CENTRAL PARKWAY           ,JEWEL AVENUE,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,Sedan,Sedan,,,,2017-10-30 14:00:00
13329249,4803121,47061ff2-6b1b-4e3e-9f41-52e65f70669a,OCCUPANT,UNSPECIFIED,M,21.0,20851883.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,04/02/2025,7:57,,,40.61427,-74.156654,"(40.61427, -74.156654)",STATEN ISLAND EXPRESSWAY,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,Box Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,2025-04-02 07:57:00
9669639,4038245,9c699414-4f77-434e-b6a7-a625cb725086,OCCUPANT,UNSPECIFIED,F,34.0,18852619.0,,,,,,,,,Registrant,,,12/04/2018,18:00,,,40.83302,-73.862724,"(40.83302, -73.862724)",WESTCHESTER AVENUE              ,WHITE PLAINS ROAD,,1.0,0.0,0,0,1,0,0,0,Brakes Defective,Unspecified,,,,Sedan,Bike,,,,2018-12-04 18:00:00
6013239,3452451,802263,OCCUPANT,UNSPECIFIED,F,8.0,17070648.0,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Lap Belt & Harness,,,Does Not Apply,Passenger,,,05/29/2016,16:00,QUEENS,11106.0,40.767326,-73.92986,"(40.767326, -73.92986)",21 STREET                       ,31 AVENUE,,1.0,0.0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Bike,,,,2016-05-29 16:00:00
6072113,3601218,9f9e8dfa-fbe8-4050-90a5-d8b8e3d3cb6e,OCCUPANT,UNSPECIFIED,M,29.0,17098829.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,01/19/2017,11:06,,,40.651264,-74.003914,"(40.651264, -74.003914)",39 STREET                       ,,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,Sedan,,,,,2017-01-19 11:06:00
6742001,3589991,3232502,OCCUPANT,UNSPECIFIED,,0.0,17417521.0,,,,,,,,,Registrant,,,12/30/2016,17:50,,,40.752693,-73.932915,"(40.752693, -73.932915)",31 STREET                       ,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Sedan,,,,2016-12-30 17:50:00
11613239,4400728,51893afe-05d1-4154-99a0-3a7effe32f9c,OCCUPANT,UNSPECIFIED,F,26.0,19866726.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,03/21/2021,11:01,BRONX,10459.0,,,"(0.0, 0.0)",SOUTHERN BOULEVARD              ,INTERVALE AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Bike,Sedan,,,,2021-03-21 11:01:00
